Establishment ID,Name,Address,Zip Code,Owner,License Number,License Type,Most Recent License Date,Establishment Type,Status,Restaurant Complexity Level,Review Frequency in Days,Location
3198,Angel's Place,7824 Michigan Ave,4821,Angel M. Cancel,075128,Fixed Establishment,,Food Service Establishment,Open,,180,"location
(42.33136, -83.13936)"
1361,"Caesars Cafe, Inc",15621 W Warren Ave,48228,Nasri Chami,069891,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.3434, -83.19794)"
51622773,Clementina Cocina & Libaciones- Mobile,150 State St Capitol Park,48226,Jeremy Sasson,229337,Mobile Food Establishment,06/06/2018,LHD - Mobile Food Establishmen,Open,High,395,
4325,Cleopatra,19027 Mack Ave,48236,Mr Wassef,073752,Fixed Establishment,04/26/2018,Food Service Establishment,Open,,180,"location
(42.41655, -82.91119)"
1452,El Palenque,5426 Vernor St W,48209,Emiliano Duran,035634,Fixed Establishment,04/22/2015,Food Service Establishment,Open,,180,
4246,El Parian #1,1064 London,48149,Nancy Lopez,208161,Mobile Food Establishment,,LHD - Mobile Food Establishmen,Open,,395,"location
(42.23924, -83.17814)"
1425,Focus Hope Center for Children,1550 Oakman Blvd,48238,Focus Hope,035588,Fixed Establishment,,Food Service Establishment,Open,,180,"location
(42.39916, -83.125)"
5217,Fresh Creamer,2236 Wyandotte St,48212,Ahmed Anam,038484,Mobile Food Establishment,05/26/2017,,,Medium,90,"location
(42.39026, -83.05982)"
4954,Freshii ,1001 Woodward,48226,Randy Dickow,202833,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.33199, -83.04759)"
5353,Fresh Land,6148 Georgia,48211,Omar Almasmari,221031,Mobile Food Establishment,,LHD - Mobile Food Establishmen,,,395,"location
(42.39283, -83.03908)"
51622875,Happy's Pizza #9,4220 Livernois Ave,4821,Rony Tinpan,232681,Fixed Establishment,,Food Service Establishment,Open,,180,"location
(42.33131, -83.1204)"
4806,Hope Academy,12121 Broadstreet Ave,48204,Hope Academy,081586,Fixed Establishment,05/15/2017,Non-Public School,,Medium,210,"location
(42.3793, -83.13533)"
4628,La Dulce,2 Washington Blvd,48226,Rober Webster,220927,Fixed Establishment,,Food Service Establishment,Permanently Closed,High,180,"location
(42.328, -83.04767)"
51622792,Lefty's,1335 W Eight Mile Rd,48203,Hussein Berry,229403,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.4444, -83.11999)"
500,McShane's,1460 Michigan Ave,48216,Ryan McShane,073759,Fixed Establishment,05/04/2018,Food Service Establishment,Open,,180,"location
(42.33168, -83.06671)"
2710,True Arbeel Kabab,6551 Greenfield Ave,48228,Ahmed Alhaudani,071786,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.33871, -83.19653)"
51622715,Urban Ramen,4206 Woodward Ave,48201,Tzohai Izayano,229207,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.35175, -83.06072)"
3928,1917 American Bistro,19416 Livernois,48221,Donald Studvent,065464,Fixed Establishment,04/30/2013,Food Service Establishment,Temporarily Closed,High,180,"location
(42.43556, -83.14128)"
4465,#1 Chinese Food,8040 (8130) E Seven Mile Rd,48234,Ming Feng Xiao,034143,Fixed Establishment,04/26/2016,Food Service Establishment,Permanently Closed,High,180,
3153,1st Wok,12555 Grand River Ave #150,48204,Ang Lam,047622,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.37964, -83.16739)"
5248,234 Winder St. Inn Community Center,2458 Brush St,48201,Mona Ross/ Gardner,217906,Fixed Establishment,05/07/2018,Food Service Establishment,Open,Medium,365,"location
(42.34241, -83.04875)"
3622,24 Grille,204 Michigan Ave,48226,Bistro 24 LLC,064219,Fixed Establishment,08/07/2018,Food Service Establishment,Open,High,180,"location
(42.33171, -83.04843)"
5276,2941 Street Foods of Midtown,4219 Woodward Ave,48201,Jacques Van Staden,208218,Fixed Establishment,05/01/2018,Food Service Establishment,Open,High,180,"location
(42.35178, -83.06143)"
51622714,-320 Coffee & Creamery,474 Peterboro Street #201,48201,Nisharth Patel,230540,Fixed Establishment,03/09/2018,Food Service Establishment,Open,Medium,365,"location
(42.34422, -83.06167)"
542,3 ELEVEN ULTRA LOUNGE,22100 W Warren Ave,48239,,080852,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.3421, -83.25509)"
1715,3rd Street Bar,4626 Third / 699 W Forest Av,48201,3rd Bar LLC,067009,Fixed Establishment,04/28/2017,Food Service Establishment,Open,High,180,
5157,44 Burrito,14015 W Eight Mile Rd,48235,Natasha Jones,082496,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.44489, -83.18498)"
51622515,4 of a Kind Catering,19153 Van Dyke Ave,48234,Jerold L. Vernon,217899,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.43567, -83.02439)"
4869,7 Greens,1222 Library St,48226,Kelly Schaefer-Janssen,081153,Fixed Establishment,04/19/2018,Food Service Establishment,Open,High,180,"location
(42.3341, -83.04636)"
5392,800 Parc,800 Woodward Ave,48226,800 Parc LLC,209354,Fixed Establishment,05/08/2018,Food Service Establishment,Open,High,180,"location
(42.33156, -83.04685)"
2497,8330 on the River,8330 E Jefferson Ave,48214,POAH - Preservation of afforda,073412,Fixed Establishment,05/11/2017,Food Service Establishment,Open,Medium,365,"location
(42.35118, -82.99075)"
2079,8 Mile Grill,8003-05 W Eight Mile Rd,48221,Anton Marjauam,071989,Fixed Establishment,04/27/2018,Food Service Establishment,Open,High,180,"location
(42.44583, -83.15099)"
5357,A 1 Fish & Chicken LLC,16900 Plymouth,48212,Hnsar M. Almugari,208176,Fixed Establishment,,Food Service Establishment,,,180,"location
(42.37253, -83.21216)"
3099,AAA Panda Inc.,18087 Kelly Rd,48224,Yun Hui Ni,217904,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.42832, -82.95792)"
51622589,Abe's Bakery & Pizza,16645 WWarren,48228,ABE,217895,Fixed Establishment,,Food Service Establishment,Open,High,180,
815,Abicks Bar,3500 Gilbert St,4821,Eric Lakeman,034843,Fixed Establishment,05/04/2015,Food Service Establishment,Open,Low,365,"location
(42.32694, -83.11871)"
1568,Academy of the Americas,5680 Konkel St,4821,Detroit Board of Education,035816,Fixed Establishment,05/13/2015,Public School,Open,Medium,210,"location
(42.32712, -83.11054)"
2455,Ace of Spades,19245 W Eight Mile Rd,48219,BFC Management Co/Masoud Sesi,043616,Fixed Establishment,02/24/2017,Food Service Establishment,Open,Medium,180,"location
(42.44385, -83.23228)"
4877,AC's Hot Dog Express #1,14153 Manor St,48238,AC's Ice Cream LLC,039800,Special Transitory Food Unit,03/30/2015,LHD - Special Transitory Food,Seasonal,Medium,365,"location
(42.3908, -83.16786)"
442,Adam's Apple,18931 W Warren Ave,48228,Patrick Carolan,078795,Fixed Establishment,,Food Service Establishment,Open,Medium,365,"location
(42.34306, -83.22493)"
3444,Adams-Butzel Recreation Center,10500 Lyndon Ave,48238,Detroit Parks and Recreation,073411,Fixed Establishment,05/08/2018,Food Service Establishment,Open,Medium,365,"location
(42.3952, -83.164)"
3553,Adi's Coney Island ,6171 Michigan Ave,4821,Admirim Avdoll,203409,Fixed Establishment,,Food Service Establishment,Permanently Closed,,180,"location
(42.33085, -83.11848)"
2820,A Eagles Coney Island,9122 Dexter Ave,48206,Martin Merditaj,217901,Fixed Establishment,,Food Service Establishment,Open,Medium,365,"location
(42.36967, -83.11722)"
766,Akbar's Coffee Shop,12943 Fenkell Ave,48227,James Reese,034779,Fixed Establishment,05/17/2017,Food Service Establishment,Temporarily Closed,,180,"location
(42.40199, -83.17231)"
2695,Akebulan Village,7701 Harper Ave,48213,Marvis Cofield,046710,Fixed Establishment,04/28/2017,Food Service Establishment,Open,Medium,365,"location
(42.3878, -83.02264)"
758,Alaskan Bar Homestead #3,7625 Michigan Ave,4821,Bosko S. Marcevski,034767,Fixed Establishment,04/24/2015,Food Service Establishment,Open,Medium,365,"location
(42.33088, -83.13685)"
4023,Albano Coney Island/DBA Apollo,7635 Grand River Ave,48204,Zef Gega,066448,Fixed Establishment,04/27/2018,Food Service Establishment,Open,Medium,210,"location
(42.35839, -83.11436)"
4115,Al Baraka Restaurant,3611 Carpenter St,48212,Mohammed N Ahmed,075685,Fixed Establishment,04/27/2017,Food Service Establishment,Permanently Closed,,180,"location
(42.40899, -83.05801)"
1643,A. L. Holmes Elementary,8950 Crane St,48213,Detroit Board of Education,035974,Fixed Establishment,05/13/2015,Public School,Open,Medium,210,"location
(42.39457, -83.01485)"
5421,Ali's Pizza,11608 Conant St,48212,Aktar Ali,226563,Fixed Establishment,01/17/2017,Food Service Establishment,Open,High,180,"location
(42.40503, -83.05417)"
51622867,Allenby/Fort Street Galley,160 W Fort St,48226,Michael Goldberg,1031NKB,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.33058, -83.04859)"
5380,Alley Taco,418 Willis St,48201,Jason Frenkel,217917,Fixed Establishment,04/17/2018,Food Service Establishment,Open,High,180,"location
(42.35047, -83.06382)"
3800,All Saints Soup Kitchen,7824 Fort St W,48209,Sr. Eileen Lantzy,075124,Fixed Establishment,04/22/2015,Food Service Establishment,Open,,365,"location
(42.30091, -83.1181)"
5228,All Star Fish & Seafood Inc.,13585 Greenfield Rd,48227,Nagmuddin Pady,203370,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.38602, -83.19851)"
5227,Al Namer Fish & Seafood #2 LLC,12332 E Warren,48215,,103134,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.3899, -82.9741)"
